,HIP,TYC,RA,Dec,Umag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag,dist,M_V,Type,Lstar,pmRA,pmDec,BmV,angdiam
2242,32104,,100.601,17.6453,,5.263,5.2,,5.14,5.026,5.07,5.011,47.462,1.81827,A2V,16.6425,11.996,-90.179,0.06299999999999972,0.3323928072978222
2243,32144,,100.692,-22.4486,,6.581,6.26,,5.89,5.639,5.484,5.399,49.0894,2.80506,F2V,6.0874,-54.535,99.496,0.3210000000000006,0.3213004848731805
2244,32145,,100.695,-22.4527,,9.233,8.57,,7.85,7.208,6.898,6.829,48.9244,5.12237,?,0.797478,-58.917,97.164,0.6630000000000003,0.1688593337597378
2245,32242,,100.967,-54.5673,,9.279,8.46,,7.62,7.013,6.645,6.546,49.8214,4.97292,K0V,1.00435,-39.296,151.998,0.8189999999999991,0.21656162600623702
2246,32270,,101.058,-0.9254,,12.958,11.61,11.137,10.04,8.771,8.08,7.949,37.3684,8.74748,?,0.0651148,-206.077,16.418,1.3480000000000008,0.13291688546007394
2247,32277,,101.082,40.6231,,11.042,9.78,,8.56,7.437,6.912,6.742,25.8065,7.72136,K,0.144822,8.17,-44.84,1.2620000000000005,0.2544511163456109
2248,32313,,101.19,71.8876,,12.284,10.92,10.2,9.32,7.846,7.254,7.003,21.529,9.25488,M0:V:,0.0422505,-117.338,-547.972,1.3640000000000008,0.1896162309613704
2249,32322,,101.216,-27.3417,,6.98,6.43,,5.79,5.398,5.126,5.055,26.8994,4.28129,F7V,1.66395,-5.854,293.585,0.5500000000000007,0.39579734999679833
2250,32329,,101.229,20.8607,,7.762,7.2,,6.56,6.122,5.884,5.806,49.6325,3.72117,F8,2.79873,90.512,8.322,0.5619999999999994,0.28157600121783344
2251,32349,,,101.287,-16.7161,-1.51,-1.431,-1.44,-1.46,-1.42,-1.36,-1.33,-1.35,2.63706,1.45440,,9.91,-546.01,-0.07899999999999996,4.860196119870498
2252,32362,,101.322,12.8956,3.85,3.793,3.35,2.97,2.87,2.57,1.811,2.3,18.2325,2.04576,F5IV,12.5858,-115.58,-192.96,0.44300000000000006,1.4386566291149891
2253,32366,,101.346,-31.7937,,6.411,5.92,,5.35,4.986,4.806,4.664,24.0072,4.01829,F7V,2.06841,-217.208,-317.354,0.49099999999999966,0.4668430417750417
2254,32382,,101.371,44.2334,,8.084,7.47,7.1,6.79,6.361,6.132,6.039,45.0635,4.20087,G0,1.83429,144.258,-190.537,0.6139999999999999,0.2643438463651878
2255,32414,,101.505,-66.4082,,12.927,11.358,,,8.725,8.085,7.896,40.7953,8.30495,?,0.270577,161.402,-94.049,1.568999999999999,0.2602867007481235
2256,32423,,101.521,32.5557,,9.764,8.8,8.2,7.79,7.021,6.524,6.417,25.8435,6.73825,K3V,0.226368,-456.335,99.719,0.9639999999999986,0.22896482791297032
2257,32439,,101.559,79.5648,,5.965,5.44,5.1,4.84,4.512,4.262,4.141,18.2053,4.13902,F8V,1.87637,-99.015,-603.924,0.5249999999999995,0.6063022505241323
2258,32480,,101.685,43.5774,,5.815,5.24,4.9,4.59,4.406,4.071,4.132,16.6481,4.13318,G0V,1.92154,-3.127,163.583,0.5750000000000002,0.705061051009546
2259,32500,,101.744,-87.025,,6.889,6.46,,5.96,5.625,5.423,5.325,38.9097,3.50971,F3V,3.27085,4.837,4.354,0.42900000000000027,0.3376376900934435
2260,32530,,101.816,-18.2587,,11.866,10.56,,9.06,7.968,7.33,7.2,30.9753,8.10492,M0V:,0.10917,-104.211,67.27,1.3059999999999992,0.19579243814539546
2261,32544,,101.866,-40.5159,,12.015,10.7,,9.18,8.196,7.529,7.375,32.6412,8.13117,K6.5Vk:,0.108168,-46.383,-256.867,1.3150000000000013,0.18733851782715522
2262,32560,,101.908,37.5159,,11.962,12.06,12.4,12.14,12.66,12.66,12.76,17.0725,10.8985,DAn,0.00641011,-229.728,-937.763,-0.09800000000000075,0.009181712420508645
2263,32607,,102.048,-61.9414,,3.465,3.24,,2.96,2.766,2.607,2.57,29.6033,0.883298,A7IV,35.2975,-66.07,242.97,0.22499999999999964,1.117025650207953
2264,32609,,102.051,55.7042,,6.8,6.3,,,,,,42.9396,3.13571,F5V:+...,4.67768,58.499,-106.073,0.5,0.3961218056174135
2265,32617,,102.079,-1.31892,,6.042,5.75,,5.42,5.402,5.131,5.01,40.3387,2.72139,F1V,6.56245,-36.617,-34.78,0.2919999999999998,0.3898640456442106
2266,32644,,102.149,-4.07591,,7.573,7.02,,6.44,,,,48.7256,3.58121,F8...,3.17445,-49.002,-81.208,0.5530000000000008,0.30269414117535137
2267,32673,,102.224,37.5051,,8.747,8.07,,7.33,6.866,6.564,6.513,40.6881,5.02266,G0,0.881215,-94.874,-49.394,0.6769999999999996,0.2162067616325088
